id,player,Age,Pos,Games,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary_rank,salary_2024_25,salary_2025_26,salary_2026_27,salary_2027_28,salary_2028_29,salary_2029_30,salary_guaranteed,salary_years,age,lt_5_ft_fgm,lt_5_ft_fga,lt_5_ft_fgpct,5_9_ft_fgm,fga_5_9_ft,5_9_ft_fgpct,10_14_ft_fgm,fga_10_14_ft,10_14_ft_fgpct,15_19_ft_fgm,fga_15_19_ft,15_19_ft_fgpct,20_24_ft_fgm,fga_20_24_ft,20_24_ft_fgpct,25_29_ft_fgm,fga_25_29_ft,25_29_ft_fgpct,team
0,A.J. Green,25.0,SG,49.0,6.0,22.6,2.6,6.1,0.425,2.2,5.2,0.417,0.4,0.9,0.467,0.602,0.3,0.4,0.889,0.2,2.0,2.3,1.3,0.5,0.1,0.5,2.2,7.7,362.0,2120693.0,2301587.0,,,,,2120693.0,2.0,,,,,,,,,,,,,,,,,,,,MIL
1,A.J. Lawson,24.0,SG,5.0,0.0,3.2,0.8,1.6,0.5,0.4,1.0,0.4,0.4,0.6,0.667,0.625,0.2,0.6,0.333,0.2,0.6,0.8,0.0,0.0,0.0,0.0,0.0,2.2,,,,,,,,,,24.0,0.5,0.8,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,1.0,50.0,TOR
2,AJ Johnson,20.0,SG,10.0,0.0,7.0,1.1,2.7,0.407,0.4,1.0,0.4,0.7,1.7,0.412,0.481,0.1,0.2,0.5,0.0,0.9,0.9,1.2,0.1,0.0,0.5,0.5,2.7,316.0,2795294.0,3090480.0,3237120.0,5493394.0,,,5885774.0,4.0,20.0,0.6,1.4,42.9,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.2,0.7,33.3,WAS
3,Aaron Gordon,29.0,PF,34.0,25.0,26.9,4.5,8.7,0.512,1.2,2.8,0.427,3.3,5.9,0.552,0.581,2.5,3.1,0.794,1.6,3.3,4.9,3.2,0.4,0.2,1.2,1.5,12.6,75.0,22841455.0,22841455.0,31978037.0,34536280.0,37094523.0,,112197227.0,5.0,29.0,2.7,4.4,61.4,0.2,0.7,21.7,0.3,0.5,53.3,0.1,0.3,40.0,0.6,1.4,42.2,0.5,1.3,40.9,DEN
4,Aaron Holiday,28.0,PG,41.0,3.0,12.6,1.7,4.0,0.416,0.9,2.6,0.352,0.8,1.5,0.525,0.527,0.6,0.7,0.893,0.2,1.0,1.2,1.3,0.4,0.1,0.5,1.2,4.9,257.0,4668000.0,4901400.0,,,,,4668000.0,2.0,28.0,0.3,0.5,68.4,0.2,0.5,44.4,0.1,0.2,37.5,0.2,0.3,46.2,0.4,0.8,48.5,0.5,1.7,30.4,HOU
5,Aaron Nesmith,25.0,SF,20.0,12.0,21.0,2.9,6.0,0.483,1.1,2.9,0.386,1.8,3.2,0.571,0.575,1.6,1.7,0.912,0.7,2.8,3.5,1.4,0.6,0.3,0.7,2.7,8.5,151.0,11000000.0,11000000.0,11000000.0,,,,33000000.0,3.0,25.0,1.1,1.6,70.0,0.3,0.7,42.9,0.2,0.5,33.3,0.1,0.2,33.3,0.4,1.1,40.0,0.6,1.7,36.4,IND
6,Aaron Wiggins,26.0,SG,56.0,19.0,22.0,4.3,8.6,0.499,1.6,4.0,0.394,2.7,4.5,0.593,0.592,0.9,1.0,0.857,1.1,2.6,3.6,1.6,0.8,0.3,0.9,1.3,11.0,158.0,10514017.0,9672897.0,8831776.0,7990655.0,7990655.0,,45000000.0,5.0,26.0,2.3,3.3,68.9,0.3,0.8,31.8,0.1,0.3,50.0,0.1,0.1,50.0,0.7,1.9,38.1,0.8,2.2,37.8,OKC
7,Adam Flagler,25.0,SG,22.0,0.0,4.2,0.5,2.5,0.218,0.3,2.0,0.159,0.2,0.5,0.455,0.282,0.0,0.0,,0.1,0.2,0.4,0.0,0.2,0.1,0.0,0.4,1.4,,,,,,,,,,25.0,0.1,0.1,50.0,0.0,0.2,0.0,0.2,0.2,100.0,0.1,0.3,33.3,0.1,0.7,7.7,0.3,1.6,19.4,OKC
8,Adama Sanogo,22.0,C,4.0,0.0,5.3,1.0,1.8,0.571,0.0,0.0,,1.0,1.8,0.571,0.571,0.0,0.0,,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,,,,,,,,,,23.0,1.0,1.7,60.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI
9,Adem Bona,21.0,C,38.0,1.0,10.8,1.1,1.6,0.695,0.0,0.0,,1.1,1.6,0.695,0.695,0.7,1.2,0.636,1.0,1.7,2.7,0.3,0.2,0.7,0.7,1.8,2.9,446.0,1157153.0,1955377.0,2296271.0,2486995.0,,,1157153.0,4.0,21.0,1.0,1.4,71.7,0.1,0.2,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI
10,Ajay Mitchell,22.0,SG,34.0,1.0,16.5,2.5,4.9,0.506,0.6,1.5,0.431,1.8,3.4,0.539,0.572,0.8,1.0,0.848,0.5,1.5,2.0,1.7,0.7,0.1,0.8,1.7,6.4,308.0,3000000.0,3000000.0,,,,,3000000.0,2.0,22.0,1.2,1.9,64.1,0.3,1.0,33.3,0.3,0.3,81.8,0.0,0.1,25.0,0.2,0.7,34.8,0.4,0.9,46.7,OKC
11,Al Horford,38.0,C,45.0,29.0,26.4,2.9,7.0,0.41,1.8,5.0,0.359,1.1,2.1,0.532,0.536,0.4,0.4,0.889,1.1,4.3,5.4,1.8,0.5,0.9,0.7,1.5,7.9,169.0,9500000.0,,,,,,9500000.0,1.0,38.0,0.8,1.4,59.0,0.3,0.5,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.3,36.0,1.0,2.9,35.4,BOS
12,Alec Burks,33.0,SG,30.0,1.0,17.0,1.9,4.5,0.425,1.4,3.2,0.433,0.5,1.2,0.405,0.582,1.0,1.3,0.763,0.4,2.2,2.6,1.1,0.6,0.2,0.4,0.7,6.2,390.0,2087519.0,,,,,,2087519.0,1.0,33.0,0.2,0.5,40.0,0.1,0.3,33.3,0.1,0.1,50.0,0.1,0.3,42.9,0.8,2.1,40.3,0.6,1.2,48.6,MIA
13,Alex Caruso,30.0,SG,35.0,1.0,19.1,2.3,5.6,0.416,1.1,3.3,0.342,1.2,2.3,0.525,0.518,0.4,0.5,0.813,0.7,2.1,2.8,2.6,1.7,0.5,0.6,1.9,6.2,166.0,9890000.0,18102000.0,19550160.0,20998320.0,22446480.0,,90986960.0,5.0,30.0,1.2,2.0,59.1,0.0,0.1,0.0,0.0,0.1,25.0,0.0,0.0,0.0,0.6,1.6,35.2,0.6,1.8,31.7,OKC
14,Alex Ducas,24.0,SG,16.0,0.0,4.6,0.5,1.4,0.364,0.4,1.0,0.438,0.1,0.4,0.167,0.523,0.0,0.0,,0.3,0.6,0.9,0.1,0.1,0.0,0.1,0.3,1.4,,,,,,,,,,24.0,0.1,0.2,33.3,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.6,33.3,0.3,0.5,50.0,OKC
15,Alex Len,31.0,C,39.0,3.0,7.5,0.6,1.2,0.522,0.0,0.2,0.167,0.6,1.0,0.575,0.533,0.2,0.3,0.538,0.7,1.2,1.9,0.8,0.2,0.5,0.3,1.0,1.4,369.0,2831348.0,,,,,,2087519.0,1.0,31.0,0.4,0.6,63.6,0.2,0.4,61.5,0.0,0.1,25.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,50.0,LAL
16,Alex Sarr,19.0,C,43.0,43.0,26.9,4.4,11.2,0.394,1.5,4.8,0.312,2.9,6.4,0.455,0.46,1.4,2.2,0.621,1.8,4.9,6.6,2.2,0.7,1.6,1.4,2.4,11.7,147.0,11245680.0,11808240.0,12370680.0,15611798.0,,,23053920.0,4.0,19.0,1.9,3.0,62.8,0.6,2.2,26.9,0.2,0.8,30.3,0.2,0.4,52.9,0.4,1.2,33.3,1.1,3.6,30.3,WAS
17,Alperen Şengün,22.0,C,54.0,54.0,31.2,7.5,15.4,0.487,0.3,1.5,0.228,7.2,13.9,0.515,0.498,3.7,5.4,0.692,3.3,7.2,10.5,4.9,1.2,0.7,2.5,2.8,19.0,235.0,5424654.0,33944954.0,35642202.0,37339450.0,39036697.0,39036697.0,151387957.0,6.0,22.0,4.5,7.8,58.0,1.3,3.2,40.7,1.0,2.2,47.8,0.3,0.6,42.4,0.1,0.3,25.0,0.3,1.2,22.2,HOU
18,Amen Thompson,22.0,SF,54.0,27.0,32.1,5.4,9.8,0.548,0.4,1.3,0.271,5.0,8.5,0.59,0.566,2.8,4.0,0.71,2.7,5.4,8.1,3.5,1.4,1.3,2.1,2.4,13.9,174.0,9249960.0,9690600.0,12258609.0,,,,18940560.0,3.0,22.0,3.8,5.6,67.9,0.6,1.3,43.7,0.4,0.8,45.2,0.2,0.6,36.7,0.3,1.1,32.1,0.0,0.3,6.3,HOU
19,Amir Coffey,27.0,SG,54.0,13.0,25.9,3.6,7.5,0.474,1.6,3.7,0.422,2.0,3.9,0.524,0.577,1.7,1.9,0.904,0.5,1.9,2.4,1.1,0.5,0.1,0.7,1.8,10.4,277.0,3938271.0,,,,,,3938271.0,1.0,27.0,1.2,2.0,58.1,0.3,0.6,45.2,0.3,0.7,47.2,0.2,0.5,41.4,0.8,1.7,44.4,0.8,1.9,43.0,LAC
20,Andre Drummond,31.0,C,32.0,16.0,18.1,2.8,5.4,0.517,0.0,0.4,0.083,2.8,5.1,0.549,0.52,1.2,2.1,0.561,2.5,4.9,7.4,0.6,1.0,0.4,1.5,2.3,6.8,247.0,5000000.0,5000000.0,,,,,5000000.0,2.0,31.0,2.4,4.2,58.1,0.3,0.7,43.5,0.1,0.2,28.6,0.0,0.0,0.0,0.0,0.2,14.3,0.0,0.1,0.0,PHI
