Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shai Gilgeous-Alexander,26,OKC,PG,55,55,34.1,11.2,21.5,0.522,2.1,5.7,0.36,9.1,15.7,0.581,0.57,7.9,8.8,0.895,0.9,4.2,5.1,6.1,1.9,1.1,2.6,2.2,32.3
Giannis Antetokounmpo,30,MIL,PF,44,44,34.2,12.5,20.4,0.61,0.2,0.8,0.194,12.3,19.6,0.628,0.614,6,10.4,0.577,2.3,9.8,12,5.8,0.8,1.3,3.5,2.5,31
Nikola Jokić,29,DEN,C,51,51,36,11.2,19.5,0.574,2.1,4.6,0.447,9.1,14.8,0.613,0.627,5,6.1,0.821,3,9.6,12.7,10.2,1.8,0.6,3.2,2.2,29.4
Anthony Edwards,23,MIN,SG,56,56,36.8,9.2,21,0.438,4.2,10.3,0.409,5,10.8,0.465,0.537,5.1,6,0.84,0.8,5.1,5.9,4.5,1.2,0.6,3.5,1.9,27.7
Tyrese Maxey,24,PHI,PG,48,48,38,9.5,21.3,0.448,3.3,9.5,0.348,6.2,11.8,0.529,0.526,5,5.7,0.876,0.3,3.2,3.5,6.1,1.8,0.4,2.5,2.3,27.4
Kevin Durant,36,PHX,PF,44,44,36.6,9.8,18.4,0.532,2.3,5.8,0.401,7.5,12.6,0.593,0.596,5,6.1,0.824,0.4,5.6,6,4.2,0.9,1.4,3,1.7,26.9
Jayson Tatum,26,BOS,PF,54,54,36.4,9,20,0.453,3.6,10.1,0.356,5.4,9.9,0.552,0.543,5.1,6.4,0.8,0.6,8.2,8.8,5.7,1.1,0.5,2.8,2.2,26.8
Luka Dončić,25,LAL,PG,26,26,34.5,9.3,20.5,0.454,3.2,9.4,0.343,6.1,11.1,0.549,0.533,4.9,6.4,0.765,0.8,7.4,8.2,7.5,1.9,0.4,3.4,2.7,26.7
LaMelo Ball,23,CHA,PG,35,35,32.4,9.2,22.3,0.414,3.9,11.7,0.336,5.3,10.6,0.5,0.502,4.3,5.2,0.824,0.9,4.2,5.1,7.1,1.3,0.3,3.5,3.2,26.7
Devin Booker,28,PHX,SG,51,51,37.3,8.6,18.9,0.452,2.6,7.7,0.343,5.9,11.3,0.527,0.522,6.4,7.1,0.895,0.9,3.1,4,6.7,1.1,0.3,2.7,2.5,26.1
