player,team,age,lt_5_ft_fgm,lt_5_ft_fga,lt_5_ft_fgpct,5_9_ft_fgm,5_9_ft_fga,5_9_ft_fgpct,10_14_ft_fgm,10_14_ft_fga,10_14_ft_fgpct,15_19_ft_fgm,15_19_ft_fga,15_19_ft_fgpct,20_24_ft_fgm,20_24_ft_fga,20_24_ft_fgpct,25_29_ft_fgm,25_29_ft_fga,25_29_ft_fgpct
A.J. Lawson,TOR,24,0.5,0.8,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,1.0,50.0
AJ Green,MIL,25,0.1,0.2,60.0,0.0,0.1,25.0,0.1,0.1,66.7,0.2,0.5,40.9,1.0,2.0,49.5,1.1,3.1,36.7
AJ Johnson,WAS,20,0.6,1.4,42.9,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100,0.2,0.7,33.3
Aaron Gordon,DEN,29,2.7,4.4,61.4,0.2,0.7,21.7,0.3,0.5,53.3,0.1,0.3,40.0,0.6,1.4,42.2,0.5,1.3,40.9
Aaron Holiday,HOU,28,0.3,0.5,68.4,0.2,0.5,44.4,0.1,0.2,37.5,0.2,0.3,46.2,0.4,0.8,48.5,0.5,1.7,30.4
Aaron Nesmith,IND,25,1.1,1.6,70.0,0.3,0.7,42.9,0.2,0.5,33.3,0.1,0.2,33.3,0.4,1.1,40.0,0.6,1.7,36.4
Aaron Wiggins,OKC,26,2.3,3.3,68.9,0.3,0.8,31.8,0.1,0.3,50.0,0.1,0.1,50.0,0.7,1.9,38.1,0.8,2.2,37.8
Adam Flagler,OKC,25,0.1,0.1,50.0,0.0,0.2,0.0,0.2,0.2,100,0.1,0.3,33.3,0.1,0.7,7.7,0.3,1.6,19.4
Adama Sanogo,CHI,23,1.0,1.7,60.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adem Bona,PHI,21,1.0,1.4,71.7,0.1,0.2,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ajay Mitchell,OKC,22,1.2,1.9,64.1,0.3,1.0,33.3,0.3,0.3,81.8,0.0,0.1,25.0,0.2,0.7,34.8,0.4,0.9,46.7
Al Horford,BOS,38,0.8,1.4,59.0,0.3,0.5,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.3,36.0,1.0,2.9,35.4
Alec Burks,MIA,33,0.2,0.5,40.0,0.1,0.3,33.3,0.1,0.1,50.0,0.1,0.3,42.9,0.8,2.1,40.3,0.6,1.2,48.6
Alex Caruso,OKC,30,1.2,2.0,59.1,0.0,0.1,0.0,0.0,0.1,25.0,0.0,0.0,0.0,0.6,1.6,35.2,0.6,1.8,31.7
Alex Ducas,OKC,24,0.1,0.2,33.3,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.6,33.3,0.3,0.5,50.0
Alex Len,LAL,31,0.4,0.6,63.6,0.2,0.4,61.5,0.0,0.1,25.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,50.0
Alex Sarr,WAS,19,1.9,3.0,62.8,0.6,2.2,26.9,0.2,0.8,30.3,0.2,0.4,52.9,0.4,1.2,33.3,1.1,3.6,30.3
Alperen Sengun,HOU,22,4.5,7.8,58.0,1.3,3.2,40.7,1.0,2.2,47.8,0.3,0.6,42.4,0.1,0.3,25.0,0.3,1.2,22.2
Amen Thompson,HOU,22,3.8,5.6,67.9,0.6,1.3,43.7,0.4,0.8,45.2,0.2,0.6,36.7,0.3,1.1,32.1,0.0,0.3,6.3
Amir Coffey,LAC,27,1.2,2.0,58.1,0.3,0.6,45.2,0.3,0.7,47.2,0.2,0.5,41.4,0.8,1.7,44.4,0.8,1.9,43.0
Andre Drummond,PHI,31,2.4,4.2,58.1,0.3,0.7,43.5,0.1,0.2,28.6,0.0,0.0,0.0,0.0,0.2,14.3,0.0,0.1,0.0
Andre Jackson Jr.,MIL,23,0.9,1.4,63.9,0.1,0.4,15.8,0.1,0.2,40.0,0.0,0.1,50.0,0.3,0.8,37.2,0.2,0.5,44.0
Andrew Nembhard,IND,25,1.6,2.2,73.5,0.4,0.9,42.9,0.6,1.6,40.7,0.4,1.1,35.9,0.4,1.2,36.4,0.4,1.3,31.3
Andrew Wiggins,MIA,29,2.3,4.0,56.8,1.1,2.3,47.2,0.2,0.5,36.0,0.2,0.9,26.8,0.8,1.8,43.2,1.5,4.2,34.7
Anfernee Simons,POR,25,1.7,3.1,55.3,0.7,1.7,40.4,0.5,1.4,36.5,0.5,0.9,56.5,0.9,1.9,44.6,2.1,5.7,36.9
Anthony Black,ORL,21,1.8,3.1,56.2,0.5,1.2,40.3,0.1,0.5,26.9,0.1,0.4,23.8,0.4,1.1,35.5,0.3,1.2,26.2
Anthony Davis,DAL,31,5.3,7.5,70.6,1.6,3.5,44.4,0.7,2.0,36.8,1.0,2.2,46.3,0.3,1.0,29.5,0.6,1.8,34.2
Anthony Edwards,MIN,23,3.0,5.1,58.3,0.8,1.9,41.9,0.5,1.7,29.3,0.5,1.4,37.7,1.8,4.4,40.2,2.6,6.3,41.3
Anthony Gill,WAS,32,0.3,0.4,64.3,0.3,0.5,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,30.0,0.1,0.2,33.3
Antonio Reeves,NOP,22,0.7,1.2,58.6,0.2,0.5,36.4,0.0,0.1,50.0,0.0,0.1,50.0,0.2,1.1,22.2,0.4,1.0,38.5
Ariel Hukporti,NYK,22,0.5,0.8,72.2,0.1,0.3,40.0,0.1,0.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armel Traore,LAL,22,0.7,1.2,54.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0
Ausar Thompson,DET,22,3.4,4.9,67.9,0.2,0.9,23.3,0.1,0.3,20.0,0.0,0.1,33.3,0.1,0.5,16.7,0.1,0.4,30.8
Austin Reaves,LAL,26,2.0,3.0,67.1,0.9,2.0,45.5,0.5,1.3,41.3,0.2,0.5,42.3,0.6,1.3,47.6,1.9,5.5,34.6
Ayo Dosunmu,CHI,25,2.8,4.3,65.1,0.5,1.1,50.0,0.1,0.2,36.4,0.0,0.0,0.0,0.7,2.2,33.7,0.7,2.0,33.3
Bam Adebayo,MIA,27,2.7,3.9,69.2,1.3,3.3,39.0,1.3,2.9,43.6,0.5,1.0,51.9,0.3,1.0,33.3,0.4,1.6,26.2
Baylor Scheierman,BOS,24,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,100,0.0,0.6,0.0,0.0,0.6,0.0
Ben Sheppard,IND,23,0.8,1.2,63.8,0.0,0.2,14.3,0.1,0.2,42.9,0.0,0.0,100,0.9,2.5,36.4,0.4,1.0,37.5
